Index,No,Date
2000/1/4,0,20000104
2000/1/5,1,20000105
2000/1/6,2,20000106
2000/1/7,3,20000107
2000/1/11,4,20000111
2000/1/12,5,20000112
2000/1/13,6,20000113
2000/1/14,7,20000114
2000/1/17,8,20000117
2000/1/18,9,20000118
2000/1/19,10,20000119
2000/1/20,11,20000120
2000/1/21,12,20000121
2000/1/24,13,20000124
2000/1/25,14,20000125
2000/1/26,15,20000126
2000/1/27,16,20000127
2000/1/28,17,20000128
2000/1/31,18,20000131
2000/2/1,19,20000201
2000/2/2,20,20000202
2000/2/3,21,20000203
2000/2/4,22,20000204
2000/2/7,23,20000207
2000/2/8,24,20000208
2000/2/9,25,20000209
2000/2/10,26,20000210
2000/2/14,27,20000214
2000/2/15,28,20000215
2000/2/16,29,20000216
2000/2/17,30,20000217
2000/2/18,31,20000218
2000/2/21,32,20000221
2000/2/22,33,20000222
2000/2/23,34,20000223
2000/2/24,35,20000224
2000/2/25,36,20000225
2000/2/28,37,20000228
2000/2/29,38,20000229
2000/3/1,39,20000301
2000/3/2,40,20000302
2000/3/3,41,20000303
2000/3/6,42,20000306
2000/3/7,43,20000307
2000/3/8,44,20000308
2000/3/9,45,20000309
2000/3/10,46,20000310
2000/3/13,47,20000313
2000/3/14,48,20000314
2000/3/15,49,20000315
2000/3/16,50,20000316
2000/3/17,51,20000317
2000/3/21,52,20000321
2000/3/22,53,20000322
2000/3/23,54,20000323
2000/3/24,55,20000324
2000/3/27,56,20000327
2000/3/28,57,20000328
2000/3/29,58,20000329
2000/3/30,59,20000330
2000/3/31,60,20000331
2000/4/3,61,20000403
2000/4/4,62,20000404
2000/4/5,63,20000405
2000/4/6,64,20000406
2000/4/7,65,20000407
2000/4/10,66,20000410
2000/4/11,67,20000411
2000/4/12,68,20000412
2000/4/13,69,20000413
2000/4/14,70,20000414
2000/4/17,71,20000417
2000/4/18,72,20000418
2000/4/19,73,20000419
2000/4/20,74,20000420
2000/4/21,75,20000421
2000/4/24,76,20000424
2000/4/25,77,20000425
2000/4/26,78,20000426
2000/4/27,79,20000427
2000/4/28,80,20000428
2000/5/1,81,20000501
2000/5/2,82,20000502
2000/5/8,83,20000508
2000/5/9,84,20000509
2000/5/10,85,20000510
2000/5/11,86,20000511
2000/5/12,87,20000512
2000/5/15,88,20000515
2000/5/16,89,20000516
2000/5/17,90,20000517
2000/5/18,91,20000518
2000/5/19,92,20000519
2000/5/22,93,20000522
2000/5/23,94,20000523
2000/5/24,95,20000524
2000/5/25,96,20000525
2000/5/26,97,20000526
2000/5/29,98,20000529
2000/5/30,99,20000530
2000/5/31,100,20000531
2000/6/1,101,20000601
2000/6/2,102,20000602
2000/6/5,103,20000605
2000/6/6,104,20000606
2000/6/7,105,20000607
2000/6/8,106,20000608
2000/6/9,107,20000609
2000/6/12,108,20000612
2000/6/13,109,20000613
2000/6/14,110,20000614
2000/6/15,111,20000615
2000/6/16,112,20000616
2000/6/19,113,20000619
2000/6/20,114,20000620
2000/6/21,115,20000621
2000/6/22,116,20000622
2000/6/23,117,20000623
2000/6/26,118,20000626
2000/6/27,119,20000627
2000/6/28,120,20000628
2000/6/29,121,20000629
2000/6/30,122,20000630
2000/7/3,123,20000703
2000/7/4,124,20000704
2000/7/5,125,20000705
2000/7/6,126,20000706
2000/7/7,127,20000707
2000/7/10,128,20000710
2000/7/11,129,20000711
2000/7/12,130,20000712
2000/7/13,131,20000713
2000/7/14,132,20000714
2000/7/17,133,20000717
2000/7/18,134,20000718
2000/7/19,135,20000719
2000/7/21,136,20000721
2000/7/24,137,20000724
2000/7/25,138,20000725
2000/7/26,139,20000726
2000/7/27,140,20000727
2000/7/28,141,20000728
2000/7/31,142,20000731
2000/8/1,143,20000801
2000/8/2,144,20000802
2000/8/3,145,20000803
2000/8/4,146,20000804
2000/8/7,147,20000807
2000/8/8,148,20000808
2000/8/9,149,20000809
2000/8/10,150,20000810
2000/8/11,151,20000811
2000/8/14,152,20000814
2000/8/15,153,20000815
2000/8/16,154,20000816
2000/8/17,155,20000817
2000/8/18,156,20000818
2000/8/21,157,20000821
2000/8/22,158,20000822
2000/8/23,159,20000823
2000/8/24,160,20000824
2000/8/25,161,20000825
2000/8/28,162,20000828
2000/8/29,163,20000829
2000/8/30,164,20000830
2000/8/31,165,20000831
2000/9/1,166,20000901
2000/9/4,167,20000904
2000/9/5,168,20000905
2000/9/6,169,20000906
2000/9/7,170,20000907
2000/9/8,171,20000908
2000/9/11,172,20000911
2000/9/12,173,20000912
2000/9/13,174,20000913
2000/9/14,175,20000914
2000/9/18,176,20000918
2000/9/19,177,20000919
2000/9/20,178,20000920
2000/9/21,179,20000921
2000/9/22,180,20000922
2000/9/25,181,20000925
2000/9/26,182,20000926
2000/9/27,183,20000927
2000/9/28,184,20000928
2000/9/29,185,20000929
2000/10/2,186,20001002
2000/10/3,187,20001003
2000/10/4,188,20001004
2000/10/5,189,20001005
2000/10/6,190,20001006
2000/10/10,191,20001010
2000/10/11,192,20001011
2000/10/12,193,20001012
2000/10/13,194,20001013
2000/10/16,195,20001016
2000/10/17,196,20001017
2000/10/18,197,20001018
2000/10/19,198,20001019
2000/10/20,199,20001020
2000/10/23,200,20001023
2000/10/24,201,20001024
2000/10/25,202,20001025
2000/10/26,203,20001026
2000/10/27,204,20001027
2000/10/30,205,20001030
2000/10/31,206,20001031
2000/11/1,207,20001101
2000/11/2,208,20001102
2000/11/6,209,20001106
2000/11/7,210,20001107
2000/11/8,211,20001108
2000/11/9,212,20001109
2000/11/10,213,20001110
2000/11/13,214,20001113
2000/11/14,215,20001114
2000/11/15,216,20001115
2000/11/16,217,20001116
2000/11/17,218,20001117
2000/11/20,219,20001120
2000/11/21,220,20001121
2000/11/22,221,20001122
2000/11/24,222,20001124
2000/11/27,223,20001127
2000/11/28,224,20001128
2000/11/29,225,20001129
2000/11/30,226,20001130
2000/12/1,227,20001201
2000/12/4,228,20001204
2000/12/5,229,20001205
2000/12/6,230,20001206
2000/12/7,231,20001207
2000/12/8,232,20001208
2000/12/11,233,20001211
2000/12/12,234,20001212
2000/12/13,235,20001213
2000/12/14,236,20001214
2000/12/15,237,20001215
2000/12/18,238,20001218
2000/12/19,239,20001219
2000/12/20,240,20001220
2000/12/21,241,20001221
2000/12/22,242,20001222
2000/12/25,243,20001225
2000/12/26,244,20001226
2000/12/27,245,20001227
2000/12/28,246,20001228
2000/12/29,247,20001229
2001/1/4,248,20010104
2001/1/5,249,20010105
2001/1/9,250,20010109
2001/1/10,251,20010110
2001/1/11,252,20010111
2001/1/12,253,20010112
2001/1/15,254,20010115
2001/1/16,255,20010116
2001/1/17,256,20010117
2001/1/18,257,20010118
2001/1/19,258,20010119
2001/1/22,259,20010122
2001/1/23,260,20010123
2001/1/24,261,20010124
2001/1/25,262,20010125
2001/1/26,263,20010126
2001/1/29,264,20010129
2001/1/30,265,20010130
2001/1/31,266,20010131
2001/2/1,267,20010201
2001/2/2,268,20010202
2001/2/5,269,20010205
2001/2/6,270,20010206
2001/2/7,271,20010207
2001/2/8,272,20010208
2001/2/9,273,20010209
2001/2/13,274,20010213
2001/2/14,275,20010214
2001/2/15,276,20010215
2001/2/16,277,20010216
2001/2/19,278,20010219
2001/2/20,279,20010220
2001/2/21,280,20010221
2001/2/22,281,20010222
2001/2/23,282,20010223
2001/2/26,283,20010226
2001/2/27,284,20010227
2001/2/28,285,20010228
2001/3/1,286,20010301
2001/3/2,287,20010302
2001/3/5,288,20010305
2001/3/6,289,20010306
2001/3/7,290,20010307
2001/3/8,291,20010308
2001/3/9,292,20010309
2001/3/12,293,20010312
2001/3/13,294,20010313
2001/3/14,295,20010314
2001/3/15,296,20010315
2001/3/16,297,20010316
2001/3/19,298,20010319
2001/3/21,299,20010321
2001/3/22,300,20010322
2001/3/23,301,20010323
2001/3/26,302,20010326
2001/3/27,303,20010327
2001/3/28,304,20010328
2001/3/29,305,20010329
2001/3/30,306,20010330
2001/4/2,307,20010402
2001/4/3,308,20010403
2001/4/4,309,20010404
2001/4/5,310,20010405
2001/4/6,311,20010406
2001/4/9,312,20010409
2001/4/10,313,20010410
2001/4/11,314,20010411
2001/4/12,315,20010412
2001/4/13,316,20010413
2001/4/16,317,20010416
2001/4/17,318,20010417
2001/4/18,319,20010418
2001/4/19,320,20010419
2001/4/20,321,20010420
2001/4/23,322,20010423
2001/4/24,323,20010424
2001/4/25,324,20010425
2001/4/26,325,20010426
2001/4/27,326,20010427
2001/5/1,327,20010501
2001/5/2,328,20010502
2001/5/7,329,20010507
2001/5/8,330,20010508
2001/5/9,331,20010509
2001/5/10,332,20010510
2001/5/11,333,20010511
2001/5/14,334,20010514
2001/5/15,335,20010515
2001/5/16,336,20010516
2001/5/17,337,20010517
2001/5/18,338,20010518
2001/5/21,339,20010521
2001/5/22,340,20010522
2001/5/23,341,20010523
2001/5/24,342,20010524
2001/5/25,343,20010525
2001/5/28,344,20010528
2001/5/29,345,20010529
2001/5/30,346,20010530
2001/5/31,347,20010531
2001/6/1,348,20010601
2001/6/4,349,20010604
2001/6/5,350,20010605
2001/6/6,351,20010606
2001/6/7,352,20010607
2001/6/8,353,20010608
2001/6/11,354,20010611
2001/6/12,355,20010612
2001/6/13,356,20010613
2001/6/14,357,20010614
2001/6/15,358,20010615
2001/6/18,359,20010618
2001/6/19,360,20010619
2001/6/20,361,20010620
2001/6/21,362,20010621
2001/6/22,363,20010622
2001/6/25,364,20010625
2001/6/26,365,20010626
2001/6/27,366,20010627
2001/6/28,367,20010628
2001/6/29,368,20010629
